epoch,train_total_loss,train_hard_loss,train_kd_loss,train_accuracy,val_total_loss,val_hard_loss,val_kd_loss,val_accuracy,sparsity,learning_rate,epoch_time_seconds
1,0.14449485567940606,0.23915376577907138,0.10392674913340144,98.14666666666666,0.1496957917571068,0.2786681392192841,0.09442192640304566,94.34,46.98069355032876,0.001,48.99356338399957
2,0.06096368469264772,0.12638961151573394,0.03292400023208724,99.3,0.13194577859640122,0.2513245849609375,0.08078343033790589,94.68,47.04084034613025,0.001,47.6979198629997
3,0.05241468454665608,0.10925563254621294,0.028054276878966226,99.43333333333334,0.13231354649960994,0.24877264575958252,0.08240250029563904,94.88,47.08079788240285,0.001,47.634835462999945
4,0.0492433856315083,0.10385004986127218,0.02584052826695972,99.4888888888889,0.13142569558322428,0.2455472514629364,0.08251645541191101,94.8,47.11124299914585,0.001,47.80801804099974
5,0.048485989981227454,0.10281201961835225,0.025203404495782324,99.50222222222222,0.12843191998600959,0.24166156487464904,0.07990492615699768,94.96,47.13549877323825,0.001,47.69703905699953
6,0.04693078607188331,0.10083874677552117,0.023827372785409293,99.53555555555556,0.12943498688340188,0.2449184792280197,0.07994205751419067,94.8,47.157148036894576,0.001,47.609242593999625
7,0.04489280387825436,0.09814233793152703,0.022071573672691983,99.58888888888889,0.1301034962505102,0.24442531878948212,0.08110842752456665,94.92,47.17738208182615,0.001,47.58814922200054
8,0.04468621344168981,0.09773151021268632,0.021952513429522515,99.60222222222222,0.12972065821588039,0.2430857357978821,0.0811356231212616,95.12,47.19941649994554,0.001,47.537734533999355
9,0.04535090682241652,0.09876420132848951,0.02245949354271094,99.56,0.1290190209954977,0.2415951664209366,0.08077209815979004,94.96,47.22061790957505,0.001,47.62419230500018
10,0.0428531153553062,0.09586993724107742,0.02013161895573139,99.62666666666667,0.12711359892189503,0.2362441311597824,0.08034336967468261,95.1,47.23520899376874,0.001,47.704680405000545
11,0.04315397234890196,0.09695206275780996,0.02009764655530453,99.59777777777778,0.12744993999302387,0.2396306988477707,0.07937247037887574,94.9,47.24940596641883,0.001,47.714655540999956
12,0.04192238032023112,0.09473919709391064,0.019286600263913472,99.68222222222222,0.1276641941845417,0.23863314509391784,0.08010606875419617,95.12,47.25641936047878,0.001,47.73484078799993
13,0.042533741230434845,0.09560898201995426,0.019787208191884887,99.63555555555556,0.12724068500995636,0.23895645182132721,0.07936249785423279,95.16,47.27622346554462,0.001,47.68716265399962
14,0.04195109908348984,0.09467438201374478,0.01935540504505237,99.65333333333334,0.126980536749959,0.23994924563169479,0.0785653739452362,94.98,47.288163253899555,0.001,47.71756638599982
15,0.04231958288086785,0.09542656014362971,0.01955944830543465,99.62,0.12364020147919655,0.23822472248077392,0.07453254628181458,94.98,47.29968205946928,0.001,47.681658024999706
16,0.04097443538109462,0.09374620285166635,0.01835796213216252,99.7088888888889,0.12388376154899597,0.23756435611248017,0.07516350560188294,95.06,47.31716628067621,0.001,47.817657489999874
17,0.041688772367106545,0.09456971648534139,0.01902550926340951,99.64666666666666,0.1308841354906559,0.24704834978580476,0.08109946799278259,94.92,47.32602483332665,0.001,47.75852124999983
18,0.04163026457097795,0.09459278088145785,0.01893204184240765,99.6511111111111,0.13079670643508434,0.24550585873126984,0.08163563814163208,94.9,47.341126471110904,0.001,47.776473998000256
19,0.04033317032721308,0.09273381564352247,0.017875749317473835,99.71333333333334,0.13103527832627296,0.24510547485351564,0.0821480481147766,94.74,47.35092551721766,0.001,47.76361579299919
20,0.04084026423427794,0.0937668334139718,0.018157447422875297,99.6511111111111,0.1257047683686018,0.23830039772987366,0.07744949655532837,95.2,47.36499709074024,0.001,47.68610850300047
21,0.039725139968262775,0.092820131805208,0.01697014205886258,99.69555555555556,0.12129972152709961,0.23460399203300475,0.072740744972229,95.34,47.3709266780553,0.001,47.684352530999604
22,0.03961176882849799,0.09268638990455204,0.01686550137201945,99.71333333333334,0.12795044811964035,0.24067071019411088,0.07964176206588745,95.02,47.37749221808843,0.001,47.69502319100047
23,0.04049012217256758,0.09383669090535905,0.01762730571909083,99.68444444444444,0.12509523056149482,0.235901706469059,0.07760673847198486,95.06,47.38925286483264,0.001,47.7449824739997
24,0.039225549051496715,0.0917982869082027,0.016694374206993316,99.74,0.1282850817501545,0.24084163790941238,0.0800465548992157,95.22,47.39617668808722,0.001,47.78476460499951
25,0.03871832180155648,0.09129200352032979,0.016186742498146164,99.75777777777778,0.12008500370681285,0.23029236886501311,0.072853271484375,95.2,47.40780297862339,0.001,47.80881831000079
26,0.03853848212692473,0.09159248340262308,0.015801051579581366,99.73777777777778,0.12493233707845211,0.2370150521039963,0.07689688487052918,95.12,47.41601662147521,0.001,47.791526166999574
27,0.038664992854330275,0.09121859180927276,0.016142020601034163,99.74888888888889,0.12499976936578751,0.2379894745826721,0.07657560691833495,95.24,47.427804139461024,0.001,47.72402746100033
28,0.03943170440859265,0.09248555641439225,0.01669433792995082,99.7088888888889,0.12637270405888557,0.2373930902481079,0.07879253644943238,95.12,47.4367701770779,0.001,47.71080575200085
29,0.03909742276536094,0.09132713851531346,0.01671325754539834,99.74444444444444,0.12767094724476338,0.24313875215053557,0.07818474159240722,94.96,47.44312074717816,0.001,47.78050537600029
30,0.03907393163508839,0.0920929204556677,0.016351506451103424,99.72666666666667,0.12254480190873146,0.23473217560052873,0.07446449708938599,95.18,47.45548151831831,0.001,47.88641387400003
31,0.03818983795311716,0.09077345976961984,0.01565399869746632,99.77555555555556,0.1226864246994257,0.23398823292255402,0.07498564562797547,95.38,47.46559406224383,0.001,47.78608981399975
32,0.03887126657830344,0.09187342567973666,0.016156054126885203,99.71555555555555,0.1306835621803999,0.2469344441175461,0.08086175465583802,94.9,47.47481089811572,0.001,47.75012393799989
33,0.03841127132574717,0.09136608094639248,0.015716351525816654,99.75555555555556,0.12126947962641715,0.2328431841135025,0.07345217418670655,95.18,47.48151975143743,0.001,47.7705762530004
34,0.0377350289384524,0.09035646615028381,0.015182982921848694,99.79555555555555,0.12313300481438637,0.23706134201288223,0.07430657162666321,95.26,47.49646016177204,0.001,47.738403499000015
35,0.03753291988505258,0.08977291342814764,0.0151443498407801,99.79555555555555,0.12136314359605313,0.23536440131664277,0.07250545935630798,95.32,47.49672887418813,0.0005,47.79678214900014
36,0.03706652961174647,0.08983669772148133,0.014450741741475133,99.78888888888889,0.1198942969083786,0.23031098952293397,0.0725728533744812,95.06,47.50102827284557,0.0005,47.79686502000004
37,0.03591088529825211,0.08828636266390483,0.01346425073908435,99.84,0.1217370669990778,0.23476144983768463,0.07329804482460021,95.36,47.50384079613398,0.0005,47.76421745300013
38,0.037263039224677615,0.09009021547502942,0.014622819391720825,99.77111111111111,0.12017898093163967,0.23572113740444184,0.07066091094017028,95.4,47.505058959086924,0.0005,47.62603880000006
39,0.036546749251418646,0.08919518647061454,0.013983131806717978,99.80444444444444,0.12320408555567265,0.23645707627534868,0.07466708488464356,95.38,47.508883632475936,0.0005,47.63947633599946
40,0.0362542335735427,0.08882860950628917,0.013722356823417875,99.81333333333333,0.12059790914058685,0.23052483818531036,0.07348636469841004,95.48,47.513290516099815,0.0005,47.62538412600043
41,0.035916361085573834,0.08839024340841506,0.013427552916606267,99.84222222222222,0.12308100290000439,0.23592519603967665,0.07471920275688171,95.02,47.51618365311305,0.0005,47.76663151499997
42,0.036068049528532556,0.08889067607853147,0.013429779449767537,99.82222222222222,0.12320789233446121,0.23523930274248123,0.07519442896842957,95.2,47.518279609958554,0.0005,47.78237486300077
43,0.03553752296467622,0.08820389584832722,0.012966219001842869,99.82222222222222,0.11936662032604217,0.2320444482088089,0.07107611937522888,95.52,47.5214952018711,0.0005,47.73811765800019
